source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
city scrape,40.40474,-3.69061,Entire loft,Entire home/apt,6,2.0,6.0,190.0,1,400,4.82
city scrape,40.44495,-3.70262,Entire rental unit,Entire home/apt,4,1.0,4.0,135.0,2,30,4.67
city scrape,40.42739,-3.70675,Entire condo,Entire home/apt,4,2.0,3.0,82.0,25,180,5.0
city scrape,40.38313,-3.76865,Private room in rental unit,Private room,1,1.0,1.0,48.0,10,1125,5.0
previous scrape,40.43254,-3.70281,Entire rental unit,Entire home/apt,3,1.0,2.0,93.0,40,365,4.83
previous scrape,40.442,-3.69607,Private room in rental unit,Private room,1,1.0,1.0,46.0,1,1125,4.5
previous scrape,40.4187,-3.70154,Room in boutique hotel,Hotel room,2,1.0,1.0,41.0,2,18,4.67
city scrape,40.40571,-3.69432,Entire rental unit,Entire home/apt,2,2.0,2.0,94.0,3,10,4.52
city scrape,40.42006,-3.70346,Entire rental unit,Entire home/apt,2,1.0,1.0,124.0,1,1125,4.77
city scrape,40.42416,-3.69644,Entire rental unit,Entire home/apt,4,1.0,1.0,86.0,1,1125,4.91
city scrape,40.44701,-3.64362,Entire loft,Entire home/apt,4,1.0,2.0,73.0,7,1125,4.86
city scrape,40.40671,-3.7095,Entire rental unit,Entire home/apt,4,2.0,3.0,220.0,2,7,4.5
previous scrape,40.39877,-3.71715,Entire condo,Entire home/apt,5,2.0,2.0,67.0,1,1125,4.44
city scrape,40.38938,-3.69263,Private room in rental unit,Private room,3,1.0,2.0,43.0,3,300,4.97
city scrape,40.42582,-3.69399,Entire rental unit,Entire home/apt,5,2.0,4.0,128.0,1,365,4.45
city scrape,40.42331,-3.70674,Entire rental unit,Entire home/apt,6,2.0,3.0,146.0,1,20,4.6
previous scrape,40.42182,-3.69944,Entire rental unit,Entire home/apt,3,1.0,3.0,210.0,3,1125,5.0
city scrape,40.39784,-3.76434,Private room in rental unit,Private room,1,4.0,4.0,33.0,31,364,5.0
city scrape,40.39623,-3.76402,Private room in rental unit,Private room,1,4.0,4.0,29.0,31,364,5.0
previous scrape,40.45013,-3.68379,Private room in home,Private room,1,1.0,1.0,108.0,1,30,5.0
city scrape,40.42078,-3.70386,Entire rental unit,Entire home/apt,4,1.0,2.0,125.0,2,1124,4.81
previous scrape,40.41127,-3.70331,Entire rental unit,Entire home/apt,4,2.0,3.0,80.0,5,1125,4.69
city scrape,40.41291,-3.70936,Entire condo,Entire home/apt,4,2.0,2.0,135.0,15,1000,4.97
city scrape,40.45148,-3.64354,Private room in villa,Private room,2,1.0,1.0,257.0,1,30,5.0
previous scrape,40.40613,-3.69294,Private room in home,Private room,2,1.0,2.0,44.0,2,1125,4.22
city scrape,40.41324,-3.7057,Entire rental unit,Entire home/apt,4,2.0,3.0,123.0,1,365,4.74
city scrape,40.41655,-3.70418,Entire rental unit,Entire home/apt,6,3.0,3.0,148.0,1,365,4.81
city scrape,40.41317,-3.71848,Entire loft,Entire home/apt,6,2.0,2.0,124.0,2,1125,4.61
previous scrape,40.39816,-3.76117,Private room in home,Private room,2,1.0,1.0,18.0,2,1124,4.9
previous scrape,40.42247,-3.69841,Entire rental unit,Entire home/apt,4,2.0,3.0,205.0,3,1125,5.0
city scrape,40.40888,-3.70628,Entire rental unit,Entire home/apt,4,1.0,2.0,126.0,3,1125,4.72
city scrape,40.40208,-3.67698,Entire rental unit,Entire home/apt,4,2.0,2.0,94.0,2,1125,4.79
city scrape,40.42417,-3.69144,Entire rental unit,Entire home/apt,4,1.0,1.0,76.0,2,1125,4.81
city scrape,40.472462,-3.69385,Entire rental unit,Entire home/apt,3,1.0,1.0,140.0,2,1125,4.92
previous scrape,40.42321,-3.7108,Private room in rental unit,Private room,2,1.0,1.0,35.0,2,1125,5.0
