index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
1042,previous scrape,40.4247,-3.67858,2,1.0,1.0,0.07534246575342465,30,330,4.86,0.0,0.0,1.0,0.0
1043,city scrape,40.42604,-3.69674,2,1.0,1.0,0.14383561643835616,2,1125,4.92,0.0,0.0,1.0,0.0
1044,city scrape,40.42154,-3.68157,2,1.0,1.0,0.2191780821917808,1,1125,4.58,1.0,0.0,0.0,0.0
1045,city scrape,40.41619,-3.70754,8,3.0,5.0,0.8150684931506849,2,29,4.63,1.0,0.0,0.0,0.0
1046,city scrape,40.42101,-3.67926,2,1.0,1.0,0.0993150684931507,5,1125,4.8,0.0,0.0,1.0,0.0
1047,city scrape,40.43869,-3.624,4,1.0,1.0,0.2465753424657534,3,1125,4.56,1.0,0.0,0.0,0.0
1048,city scrape,40.42606,-3.69182,2,1.0,1.0,0.226027397260274,30,1124,4.9,1.0,0.0,0.0,0.0
1049,previous scrape,40.40837,-3.68318,2,2.0,2.0,0.17465753424657532,2,1125,4.29,1.0,0.0,0.0,0.0
1050,city scrape,40.41893768310547,-3.677702903747559,4,2.0,3.0,0.595890410958904,5,1125,4.65,1.0,0.0,0.0,0.0
1051,previous scrape,40.41462,-3.72327,2,1.0,1.0,0.05821917808219178,1,1125,4.0,1.0,0.0,0.0,0.0
1052,previous scrape,40.42256,-3.70186,2,1.0,1.0,0.1815068493150685,3,1125,5.0,0.0,0.0,1.0,0.0
1053,previous scrape,40.41577,-3.70855,4,1.0,2.0,0.25,3,1125,4.78,1.0,0.0,0.0,0.0
1054,previous scrape,40.39867,-3.70149,2,1.0,1.0,0.09246575342465753,1,1125,4.78,1.0,0.0,0.0,0.0
1055,city scrape,40.42791,-3.6771,1,1.0,1.0,0.1095890410958904,1,1125,4.88,0.0,0.0,1.0,0.0
1056,previous scrape,40.42558,-3.69963,2,1.0,1.0,0.2465753424657534,7,1125,0.0,1.0,0.0,0.0,0.0
1057,previous scrape,40.45323,-3.69916,2,1.0,1.0,0.10616438356164382,1,1125,5.0,0.0,0.0,1.0,0.0
1058,previous scrape,40.4096,-3.70423,1,1.0,1.0,0.023972602739726026,1,36,4.67,0.0,0.0,1.0,0.0
1059,city scrape,40.41266,-3.70927,2,1.0,2.0,0.23972602739726023,2,1125,4.94,0.0,0.0,1.0,0.0
1060,city scrape,40.4269,-3.71083,4,2.0,3.0,0.6061643835616438,1,1125,4.94,1.0,0.0,0.0,0.0
1061,city scrape,40.41276,-3.69495,2,1.0,2.0,0.136986301369863,2,1125,4.65,0.0,0.0,1.0,0.0
